Date,Open,High,Low,Close,Volume,Adj Close
2014-02-03,502.61,551.19,499.30,545.99,12244400,545.99
2014-01-02,555.68,560.20,493.55,500.60,15698500,497.62
2013-12-02,558.00,575.14,538.80,561.02,12382100,557.68
2013-11-01,524.02,558.33,512.38,556.07,9898700,552.76
2013-10-01,478.45,539.25,478.28,522.70,12598400,516.57
2013-09-03,493.10,507.92,447.22,476.75,15876900,471.16
2013-08-01,455.75,513.74,453.26,487.22,13523700,481.51
2013-07-01,402.69,457.34,401.22,452.53,11138100,444.29
2013-06-03,450.73,454.43,388.87,396.53,13566100,389.31
2013-05-01,444.46,465.75,418.90,449.73,15960700,441.54
2013-04-01,441.90,445.25,385.10,442.78,18920500,431.86
2013-03-01,438.00,469.95,419.00,442.66,17178000,431.74
2013-02-01,459.11,484.94,437.66,441.40,18170200,430.52
2013-01-02,553.82,555.00,435.00,455.49,22861800,441.68
2012-12-03,593.65,594.59,501.23,532.17,22843200,516.04
2012-11-01,598.22,603.00,505.75,585.28,22655000,567.54
2012-10-01,671.16,676.75,587.70,595.32,21518400,574.65
2012-09-04,665.76,705.07,656.00,667.10,18297200,643.94
2012-08-01,615.91,680.87,600.25,665.24,13376500,642.14
2012-07-02,584.73,619.87,570.00,610.76,15938700,587.03
2012-06-01,569.16,590.00,548.50,584.00,14077000,561.31
2012-05-01,584.90,596.76,522.18,577.73,18827900,555.29
2012-04-02,601.83,644.00,555.00,583.98,28759100,561.29
2012-03-01,548.17,621.45,516.22,599.55,26486000,576.26
2012-02-01,458.41,547.61,453.98,542.44,22001000,521.37
2012-01-03,409.40,458.24,409.00,456.48,12949100,438.75
2011-12-01,382.54,409.09,377.68,405.00,11030900,389.27
2011-11-01,397.41,408.00,363.32,382.20,15936300,367.35
2011-10-03,380.37,426.70,354.24,404.78,23004900,389.06
2011-09-01,385.82,422.86,366.48,381.32,21301100,366.51
2011-08-01,397.78,399.50,353.02,384.83,25877600,369.88
2011-07-01,335.95,404.50,334.20,390.48,20155000,375.31
2011-06-01,348.87,352.13,310.50,335.67,15563200,322.63
2011-05-02,349.74,351.83,329.42,347.83,12465600,334.32
2011-04-01,351.11,355.13,320.16,350.13,18321700,336.53
2011-03-01,355.47,361.67,326.26,348.51,17982100,334.97
2011-02-01,341.30,364.90,337.72,353.21,18231200,339.49
2011-01-03,325.64,348.60,324.84,339.32,20033500,326.14
2010-12-01,315.27,326.66,314.89,322.56,11634300,310.03
2010-11-01,302.22,321.30,297.76,311.15,17023700,299.06
2010-10-01,286.15,319.00,277.77,300.98,21539200,289.29
2010-09-01,247.47,294.73,246.28,283.75,21298100,272.73
2010-08-02,260.44,264.28,235.56,243.10,16249800,233.66
2010-07-01,254.30,265.99,239.60,257.25,27411400,247.26
2010-06-01,259.69,279.01,242.20,251.53,28231600,241.76
2010-05-03,263.84,267.88,199.25,256.88,33746900,246.90
2010-04-01,237.41,272.46,232.75,261.09,21955000,250.95
2010-03-01,205.75,237.48,205.45,235.00,19541600,225.87
2010-02-01,192.37,205.17,190.85,204.62,21209600,196.67
2010-01-04,213.43,215.59,190.25,192.06,30855100,184.60
2009-12-01,202.24,213.95,188.68,210.73,19068700,202.54
2009-11-02,189.80,208.00,185.57,199.91,15856500,192.14
2009-10-01,185.35,208.71,180.70,188.50,22197500,181.18
2009-09-01,167.99,188.90,164.11,185.35,17906300,178.15
2009-08-03,165.21,172.49,159.42,168.21,14415700,161.68
2009-07-01,143.50,165.00,134.42,163.39,18449100,157.04
2009-06-01,136.47,146.40,132.88,142.43,21282100,136.90
2009-05-01,125.80,135.90,119.38,135.81,17702900,130.53
2009-04-01,104.09,127.20,103.89,125.83,20952600,120.94
2009-03-02,88.12,109.98,82.33,105.12,25963400,101.04
2009-02-02,89.10,103.00,86.51,89.31,27394900,85.84
2009-01-02,85.88,97.17,78.20,90.13,33487900,86.63
2008-12-01,91.30,103.60,84.55,85.35,33800900,82.03
2008-11-03,105.93,111.79,79.14,92.67,44957200,89.07
2008-10-01,111.92,116.40,85.00,107.59,66902300,103.41
2008-09-02,172.40,173.50,100.59,113.66,43697600,109.24
2008-08-01,159.90,180.45,152.91,169.53,23273800,162.94
2008-07-01,164.23,180.91,146.53,158.95,33096200,152.78
2008-06-02,188.60,189.95,164.15,167.44,34281100,160.94
2008-05-01,174.96,192.24,172.00,188.75,32650300,181.42
2008-04-01,146.30,180.00,143.61,173.95,38841700,167.19
2008-03-03,124.44,145.74,118.00,143.50,42313100,137.93
