Date,Open,High,Low,Close,Volume,Adj Close
2014-02-03,1179.20,1212.87,1128.02,1210.88,2574500,1210.88
2014-01-02,1115.46,1186.54,1082.27,1180.97,2860800,1180.97
2013-12-02,1063.51,1121.00,1049.02,1120.71,1676200,1120.71
2013-11-01,1031.79,1068.00,1005.00,1059.59,1372400,1059.59
2013-10-01,880.25,1041.52,842.98,1030.58,2472300,1030.58
2013-09-03,854.36,905.99,853.95,875.91,1742200,875.91
2013-08-01,895.00,909.71,845.56,846.90,1606700,846.90
2013-07-01,886.45,928.00,875.61,887.75,2428100,887.75
2013-06-03,873.00,910.84,847.22,880.37,2546400,880.37
2013-05-01,823.26,920.60,816.36,871.22,2335700,871.22
2013-04-01,795.01,827.64,761.26,824.57,2539000,824.57
2013-03-01,797.80,844.00,793.30,794.19,2241800,794.19
2013-02-01,758.20,808.97,758.10,801.20,2558200,801.20
2013-01-02,719.42,760.95,695.52,755.69,2573300,755.69
2012-12-03,702.24,729.10,682.33,707.38,2184600,707.38
2012-11-01,679.50,699.22,636.00,698.37,2373400,698.37
2012-10-01,759.05,774.38,669.70,680.30,3492100,680.30
2012-09-04,684.55,764.89,673.50,754.50,3313700,754.50
2012-08-01,637.30,688.99,623.41,685.09,2138700,685.09
2012-07-02,581.82,642.60,562.09,632.97,2531000,632.97
2012-06-01,571.79,587.89,556.52,580.07,2334400,580.07
2012-05-01,603.79,637.85,579.00,580.86,2801800,580.86
2012-04-02,640.77,653.14,590.20,604.85,3064200,604.85
2012-03-01,622.26,658.59,593.84,641.24,2256400,641.24
2012-02-01,584.94,625.60,579.14,618.25,2525000,618.25
2012-01-03,652.94,670.25,564.55,580.11,3789200,580.11
2011-12-01,600.00,646.76,599.00,645.90,2706100,645.90
2011-11-01,580.10,618.30,561.33,599.39,3033200,599.39
2011-10-03,509.85,602.70,480.60,592.64,3798700,592.64
2011-09-01,540.75,558.52,510.50,515.04,2921500,515.04
2011-08-01,611.22,615.50,490.86,540.96,4759500,540.96
2011-07-01,506.74,627.50,506.38,603.69,4259600,603.69
2011-06-01,528.04,533.20,473.02,506.38,2797800,506.38
2011-05-02,545.70,545.73,513.40,529.02,2286400,529.02
2011-04-01,588.76,595.19,519.00,544.10,3723500,544.10
2011-03-01,617.78,619.22,551.28,586.76,2702900,586.76
2011-02-01,604.49,631.18,601.35,613.40,2323700,613.40
2011-01-03,596.48,642.96,595.55,600.36,3139400,600.36
2010-12-01,563.00,607.00,562.40,593.97,1992000,593.97
2010-11-01,615.73,630.85,553.31,555.71,3121800,555.71
2010-10-01,530.00,624.74,518.85,613.70,3886900,613.70
2010-09-01,454.98,536.85,452.50,525.79,2997300,525.79
2010-08-02,488.99,508.60,447.65,450.02,2491000,450.02
2010-07-01,445.29,497.50,433.63,484.85,3402500,484.85
2010-06-01,480.43,509.25,444.72,444.95,2884800,444.95
2010-05-03,526.50,532.92,460.00,485.63,4222800,485.63
2010-04-01,571.35,597.84,521.03,525.70,3595000,525.70
2010-03-01,529.20,588.28,527.74,567.12,3774000,567.12
2010-02-01,534.60,547.50,520.00,526.80,2846500,526.80
2010-01-04,626.95,629.51,525.61,529.94,4907400,529.94
2009-12-01,588.13,625.99,579.18,619.98,1992700,619.98
2009-11-02,537.08,587.06,528.24,583.00,2131500,583.00
2009-10-01,493.00,561.64,482.60,536.12,3665500,536.12
2009-09-01,459.68,507.00,452.59,495.85,2581900,495.85
2009-08-03,448.74,474.35,438.56,461.67,2414100,461.67
2009-07-01,424.20,452.70,395.98,443.05,3448900,443.05
2009-06-01,418.73,447.34,401.89,421.59,3320600,421.59
2009-05-01,395.03,417.23,384.69,417.23,2984100,417.23
2009-04-01,343.78,403.75,340.61,395.97,4389900,395.97
2009-03-02,333.33,359.16,289.45,348.06,5346800,348.06
2009-02-02,334.29,381.00,329.55,337.99,6158100,337.99
2009-01-02,308.60,352.33,282.75,338.53,5727600,338.53
2008-12-01,286.68,329.50,262.58,307.65,5267900,307.65
2008-11-03,357.58,372.36,247.30,292.96,8452500,292.96
2008-10-01,411.15,416.98,309.44,359.36,8987700,359.36
2008-09-02,476.77,482.18,380.71,400.52,6531600,400.52
2008-08-01,472.51,510.66,461.90,463.29,3460100,463.29
2008-07-01,519.58,555.68,465.60,473.75,4861400,473.75
2008-06-02,582.50,588.04,515.09,526.42,4645200,526.42
2008-05-01,578.31,602.45,537.81,585.80,5136000,585.80
2008-04-01,447.74,584.86,441.00,574.29,6861200,574.29
2008-03-03,471.51,472.72,412.11,440.47,7503000,440.47
2008-02-01,528.67,541.04,446.85,471.18,9330500,471.18
2008-01-02,692.87,697.37,519.00,564.30,8221900,564.30
2007-12-03,691.01,724.80,652.50,691.48,4384500,691.48
2007-11-01,702.79,747.24,616.02,693.00,8539500,693.00
2007-10-01,569.97,707.00,569.61,707.00,7057700,707.00
2007-09-04,515.02,571.79,510.88,567.27,3792200,567.27
2007-08-01,510.50,526.82,480.46,515.25,3985700,515.25
2007-07-02,525.49,558.58,498.88,510.00,5757200,510.00
2007-06-01,501.00,534.99,497.59,522.70,6329900,522.70
2007-05-01,472.19,508.78,457.41,497.91,4932000,497.91
2007-04-02,457.76,492.50,452.12,471.38,4829900,471.38
2007-03-01,442.67,466.00,437.00,458.16,5522500,458.16
2007-02-01,506.00,506.01,443.04,449.45,6418200,449.45
2007-01-03,466.00,513.00,461.11,501.50,6839600,501.50
2006-12-01,485.98,492.40,452.34,460.48,4711100,460.48
2006-11-01,478.76,513.00,465.06,484.81,5905600,484.81
2006-10-02,401.90,491.96,398.19,476.39,7490800,476.39
2006-09-01,380.99,418.69,376.72,401.90,6243100,401.90
2006-08-01,385.11,390.00,363.36,378.53,4779600,378.53
2006-07-03,420.04,427.89,377.69,386.60,6605800,386.60
2006-06-01,373.54,419.33,371.60,419.33,6756300,419.33
2006-05-01,418.47,419.44,360.57,371.82,8360000,371.82
2006-04-03,389.53,450.72,387.93,417.94,10143900,417.94
2006-03-01,368.56,399.00,331.55,390.00,14925400,390.00
2006-02-01,389.03,406.50,337.83,362.62,17734800,362.62
2006-01-03,422.52,475.11,394.74,432.66,16055300,432.66
2005-12-01,409.20,446.21,399.01,414.86,9826200,414.86
2005-11-01,371.86,431.24,369.01,404.91,10822000,404.91
2005-10-03,313.63,374.75,290.68,372.14,9871600,372.14
2005-09-01,285.91,320.95,285.00,316.46,8538300,316.46
2005-08-01,288.12,299.72,273.35,286.00,6435000,286.00
2005-07-01,295.04,317.80,286.99,287.76,10665600,287.76
2005-06-01,283.20,309.25,267.43,294.15,18368000,294.15
2005-05-02,222.05,278.40,220.21,277.27,13143100,277.27
2005-04-01,181.76,224.74,179.84,220.00,11231400,220.00
2005-03-01,189.29,189.85,172.57,180.51,8123500,180.51
2005-02-01,194.38,216.80,181.00,187.99,17548800,187.99
2005-01-03,197.40,205.30,176.29,195.62,10738000,195.62
2004-12-01,181.95,199.88,168.47,192.79,6955000,192.79
2004-11-01,193.55,201.60,161.31,181.98,13585400,181.98
2004-10-01,130.80,199.95,128.90,190.64,13249000,190.64
2004-09-01,102.70,135.02,98.94,129.60,5392300,129.60
2004-08-19,100.00,113.48,95.96,102.37,7703500,102.37
